  PID  %CPU COMMAND
  368  22.7 WindowServer
 1037  10.5 duetexpertd
 1473   4.5 AppPredictionIntentsHelperService
 5213   3.9 Python
  764   3.5 linkd
 5140   2.2 com.apple.WebKit.WebContent
 1039   1.6 language_server_macos_arm
 3044   1.6 Discord Helper (Renderer)
  598   1.2 Terminal
  604   1.2 ChatGPT
  805   1.1 Windsurf Helper (Plugin)
  606   1.1 Dock
  809   0.9 Windsurf Helper (Renderer)
  602   0.9 Google Chrome
  787   0.9 Windsurf Helper (Renderer)
  558   0.6 WindowManager
  802   0.6 UniversalControl
  542   0.4 mds_stores
 2879   0.4 Google Chrome Helper (Renderer)
 3029   0.3 Discord
  300   0.2 logd
  673   0.2 corespotlightd
  804   0.1 Windsurf Helper
 5199   0.1 mdworker_shared
    1   0.1 launchd
  597   0.1 Electron
  808   0.1 Windsurf Helper
  624   0.1 suggestd
  327   0.1 mds
  520   0.1 RTProtectionDaemon
  537   0.1 searchpartyd
 4206   0.0 com.apple.NRD.UpdateBrainService
 4207   0.0 xpcroleaccountd
 4205   0.0 NRDUpdated
 4204   0.0 installerauthagent
 4178   0.0 com.apple.audio.SandboxHelper
 4175   0.0 com.apple.WebKit.GPU
 4174   0.0 WebThumbnailExtension
 4173   0.0 VTDecoderXPCService
 4172   0.0 com.apple.audio.SandboxHelper
 4171   0.0 AudiovisualThumbnailExtension
 4170   0.0 translationd
 4169   0.0 CSExattrCryptoService
 4168   0.0 ImageThumbnailExtension
 4167   0.0 CGPDFService
 4165   0.0 PlugInLibraryService
 4164   0.0 PlugInLibraryService
 4162   0.0 TextThumbnailExtension
 4161   0.0 extensionkitservice
 4160   0.0 AppStoreService
 3480   0.0 com.apple.accessibility.mediaaccessibilityd
 3440   0.0 VTDecoderXPCService
 3438   0.0 VTDecoderXPCService
 3434   0.0 extensionkitservice
 3433   0.0 PhotosPicker
 3429   0.0 Google Chrome Helper (Renderer)
 3377   0.0 com.apple.SiriTTSService.TrialProxy
 3376   0.0 csnameddatad
 3375   0.0 Google Chrome Helper (Renderer)
 3372   0.0 VTDecoderXPCService
 3331   0.0 Google Chrome Helper (Renderer)
 3329   0.0 Google Chrome Helper (Renderer)
 3328   0.0 Google Chrome Helper (Renderer)
 3323   0.0 IMTransferAgent
 3062   0.0 MTLCompilerService
 3059   0.0 com.apple.audio.SandboxHelper
 3058   0.0 com.apple.SiriTTSService.TrialProxy
 3055   0.0 Discord Helper (Plugin)
 3054   0.0 Discord Helper
 3053   0.0 sysextd
 3038   0.0 VTEncoderXPCService
 3036   0.0 Discord Helper
 3034   0.0 Discord Helper (GPU)
 3033   0.0 chrome_crashpad_handler
 3021   0.0 PowerUIAgent
 2914   0.0 feedbackd
 2890   0.0 icloudmailagent
 2888   0.0 ospredictiond
 2812   0.0 Google Chrome Helper (Renderer)
 2751   0.0 ollama
 2620   0.0 fairplaydeviceidentityd
 2409   0.0 MTLCompilerService
 2384   0.0 PrivateMLClientInferenceProviderService
 2383   0.0 SearchToolExtension
 2382   0.0 ShortcutsViewService
 2379   0.0 TGOnDeviceInferenceProviderService
 2378   0.0 intelligenceflowd
 2374   0.0 VTDecoderXPCService
 2373   0.0 mapspushd
 2372   0.0 destinationd
 2371   0.0 Maps
 2352   0.0 com.apple.audio.SandboxHelper
 2351   0.0 Messages
 2277   0.0 DockHelper
 2260   0.0 VTDecoderXPCService
 2256   0.0 OSDUIHelper
 2250   0.0 geoanalyticsd
 2220   0.0 cfprefsd
 2221   0.0 cfprefsd
 2217   0.0 com.apple.audio.SandboxHelper
 2210   0.0 cfprefsd
 2209   0.0 cfprefsd
 2171   0.0 MTLCompilerService
 2130   0.0 remindd
 2106   0.0 com.apple.audio.SandboxHelper
 2054   0.0 Google Chrome Helper (Plugin)
 2053   0.0 Google Chrome Helper
 1724   0.0 searchpartyuseragent
 1723   0.0 akd
 1715   0.0 Google Chrome Helper (Renderer)
 1712   0.0 Google Chrome Helper (Renderer)
 1711   0.0 Google Chrome Helper (Renderer)
 1710   0.0 Google Chrome Helper (Renderer)
 1709   0.0 VTEncoderXPCService
 1703   0.0 Google Chrome Helper (Renderer)
 1702   0.0 Google Chrome Helper (Renderer)
 1555   0.0 GMSSELFIngestor
 1554   0.0 IFTranscriptSELFIngestor
 1553   0.0 BiomeSELFIngestor
 1552   0.0 IFTelemetrySELFIngestor
 1551   0.0 extensionkitservice
 1550   0.0 SAExtensionOrchestrator
 1546   0.0 intents_helper
 1545   0.0 intents_helper
 1544   0.0 intelligenceplatformd
 1533   0.0 VTDecoderXPCService
 1532   0.0 com.apple.photos.ImageConversionService
 1527   0.0 reversetemplated
 1525   0.0 MessagesBlastDoorService
 1524   0.0 IMTranscoderAgent
 1514   0.0 managedcorespotlightd
 1512   0.0 TGOnDeviceInferenceProviderService
 1511   0.0 distnoted
 1510   0.0 TGOnDeviceInferenceProviderService
 1508   0.0 com.apple.tonelibraryd
 1507   0.0 Messages Assistant Extension
 1506   0.0 textunderstandingd
 1505   0.0 peopled
 1504   0.0 recentsd
 1503   0.0 MessagesBlastDoorService
 1492   0.0 mmaintenanced
 1490   0.0 metrickitd
 1488   0.0 extensionkitservice
 1485   0.0 keychainsharingmessagingd
 1484   0.0 AuthenticationServicesAgent
 1483   0.0 coreautha
 1479   0.0 IntelligencePlatformComputeService
 1477   0.0 homeenergyd
 1475   0.0 MTLCompilerService
 1465   0.0 ciphermld
 1463   0.0 com.apple.Safari.SafeBrowsing.Service
 1459   0.0 com.apple.WebKit.Networking
 1457   0.0 webprivacyd
 1456   0.0 com.apple.mail.SpotlightIndexExtension
 1455   0.0 powerdatad
 1453   0.0 mlhostd
 1443   0.0 fbahelperd
 1434   0.0 ASPCarryLog
 1428   0.0 devicecheckd
 1427   0.0 contentlinkingd
 1381   0.0 dataaccessd
 1380   0.0 SafariBookmarksSyncAgent
 1379   0.0 privatecloudcomputed
 1368   0.0 distnoted
 1365   0.0 online-auth-agent
 1337   0.0 tipsd
 1261   0.0 CrashReporterSupportHelper
 1245   0.0 triald_system
 1237   0.0 voicebankingd
 1231   0.0 SiriNCService
 1229   0.0 MessagesActionExtension
 1228   0.0 SafariLinkExtension
 1227   0.0 CalendarIntentsExtension
 1226   0.0 extensionkitservice
 1220   0.0 mdwrite
 1197   0.0 spotlightknowledged
 1150   0.0 promotedcontentd
 1147   0.0 progressd
 1145   0.0 SiriSuggestionsBookkeepingService
 1142   0.0 adprivacyd
 1140   0.0 financed
 1141   0.0 diagnosticextensionsd
 1139   0.0 siriinferenced
 1137   0.0 weatherd
 1135   0.0 mapssyncd
 1128   0.0 system_installd
 1127   0.0 installd
 1126   0.0 aneuserd
 1120   0.0 appstoreagent
 1125   0.0 webinspectord
 1122   0.0 com.apple.accessibility.mediaaccessibilityd
 1118   0.0 geodMachServiceBridge
 1117   0.0 storedownloadd
 1116   0.0 nsattributedstringagent
 1109   0.0 cfprefsd
 1107   0.0 nsattributedstringagent
  873   0.0 diagnostics_agent
 1101   0.0 NewsScoringService
 1100   0.0 cfprefsd
 1092   0.0 StocksKitService
 1098   0.0 systemstats
 1095   0.0 trustd
 1091   0.0 fairplayd
 1088   0.0 XProtectBridgeService
 1085   0.0 webfilterDNSd
  763   0.0 SubmitDiagInfo
